feature_id,domain,feature_class,state,priority,title,source_doc,acceptance_criteria_ref,acceptance_criteria_stub,depends_on,dependency_graph,slo_target_p95_ms,slo_target_p99_ms,compat_level,safety_budget,coverage_min,reliability_error_budget,availability_target,evidence_status,owner,notes
NAI-CORE-RUNTIME-00001,CORE,RUNTIME,proposed,P2,Core orchestration feature 001,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00001,"Given NAI-CORE-RUNTIME-00001 (Core orchestration feature 001) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00002,CORE,RUNTIME,proposed,P2,Core orchestration feature 002,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00002,"Given NAI-CORE-RUNTIME-00002 (Core orchestration feature 002) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00001,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00001""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00003,CORE,RUNTIME,proposed,P2,Core orchestration feature 003,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00003,"Given NAI-CORE-RUNTIME-00003 (Core orchestration feature 003) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00002,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00002""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00004,CORE,RUNTIME,proposed,P2,Core orchestration feature 004,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00004,"Given NAI-CORE-RUNTIME-00004 (Core orchestration feature 004) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00003,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00003""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00005,CORE,RUNTIME,proposed,P2,Core orchestration feature 005,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00005,"Given NAI-CORE-RUNTIME-00005 (Core orchestration feature 005) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00004,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00004""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00006,CORE,RUNTIME,proposed,P2,Core orchestration feature 006,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00006,"Given NAI-CORE-RUNTIME-00006 (Core orchestration feature 006) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00005,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00005""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00007,CORE,RUNTIME,proposed,P2,Core orchestration feature 007,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00007,"Given NAI-CORE-RUNTIME-00007 (Core orchestration feature 007) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00006,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00006""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00008,CORE,RUNTIME,proposed,P2,Core orchestration feature 008,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00008,"Given NAI-CORE-RUNTIME-00008 (Core orchestration feature 008) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00007,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00007""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00009,CORE,RUNTIME,proposed,P2,Core orchestration feature 009,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00009,"Given NAI-CORE-RUNTIME-00009 (Core orchestration feature 009) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00008,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00008""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00010,CORE,RUNTIME,proposed,P2,Core orchestration feature 010,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00010,"Given NAI-CORE-RUNTIME-00010 (Core orchestration feature 010) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00009,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00009""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
NAI-CORE-RUNTIME-00011,CORE,RUNTIME,proposed,P2,Core orchestration feature 011,docs/ROADMAP_SCALE_SYSTEM.md,AC-NAI-CORE-RUNTIME-00011,"Given NAI-CORE-RUNTIME-00011 (Core orchestration feature 011) is implemented for core runtime behavior, when exercised via its target API/runtime path, then it meets expected output, error, and policy constraints and includes regression coverage.",NAI-API-CONTRACT-00001;NAI-SAFETY-SECURITY-00001;NAI-CORE-RUNTIME-00010,"{""strategy"":""contract-first"",""layer_rank"":2,""requires"":[""NAI-API-CONTRACT-00001"",""NAI-SAFETY-SECURITY-00001"",""NAI-CORE-RUNTIME-00010""],""ready_when"":[""all_dependencies_verified"",""acceptance_criteria_tested""]}",650,1400,2,1.0,94,0.5,99.9,not_started,unassigned,registry v2_4: domain AC + numeric thresholds + dependency graph
